PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,getCourseById_admin,88,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses__admin_logged_in__search_for_course_that_belongs_to_another_user()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$deleteCourses$4,229,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses__user_logged_in__delete_course_that_does_not_exist()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$deleteCourses$5,234,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses__user_logged_in__delete_course_with_personal_schedule_that_does_not_exist()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$deleteCourses_Admin$3,214,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses__admin_logged_in__cannot_delete_course_that_does_not_exist()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$deleteCourses_PSID$6,288,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses__user_logged_in__delete_by_psid_course_that_does_not_exist()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$deleteCourses_PSID$7,294,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses__user_logged_in__delete_by_psid_course_with_personal_schedule_that_does_not_exist()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$getCourseById$1,99,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses__user_logged_in__search_for_courses_that_belongs_to_another_user()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$getCourseById_admin$0,86,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses__admin_logged_in__search_for_course_that_does_not_exist()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$postCourses$2,117,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:apiCoursesUserCreatesCourseWithInvalidPSID()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$putCourseById_admin$8,344,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses__admin_logged_in__cannot_put_course_that_does_not_exist()]
